draws,player1,player1Wins,player2,player2Wins,round,tournamentDate
0,Dimlas,1,Noe T.,2,1,2026-05-17T00:00:00Z
0,Valentin,2,Fubu,0,1,2026-05-17T00:00:00Z
0,Filipe,0,Guy,1,1,2026-05-17T00:00:00Z
0,Beni,0,Sili,2,1,2026-05-17T00:00:00Z
0,Thomas,2,Kaspar,0,1,2026-05-17T00:00:00Z
0,Tinu,2,Matthias,1,1,2026-05-17T00:00:00Z
0,Guy,0,Sili,2,2,2026-05-17T00:00:00Z
1,Thomas,1,Valentin,1,2,2026-05-17T00:00:00Z
0,Noe T.,0,Tinu,2,2,2026-05-17T00:00:00Z
0,Dimlas,0,Matthias,2,2,2026-05-17T00:00:00Z
0,Filipe,1,Fubu,0,2,2026-05-17T00:00:00Z
0,Kaspar,0,Beni,2,2,2026-05-17T00:00:00Z
1,Sili,1,Tinu,1,3,2026-05-17T00:00:00Z
0,Thomas,2,Guy,1,3,2026-05-17T00:00:00Z
0,Valentin,2,Matthias,0,3,2026-05-17T00:00:00Z
0,Beni,2,Noe T.,1,3,2026-05-17T00:00:00Z
0,Filipe,0,Kaspar,2,3,2026-05-17T00:00:00Z
0,Fubu,1,Dimlas,2,3,2026-05-17T00:00:00Z
1,Sili,1,Valentin,1,4,2026-05-17T00:00:00Z
0,Tinu,0,Thomas,2,4,2026-05-17T00:00:00Z
0,Beni,0,Matthias,2,4,2026-05-17T00:00:00Z
0,Guy,2,Noe T.,1,4,2026-05-17T00:00:00Z
0,Kaspar,1,Fubu,2,4,2026-05-17T00:00:00Z
0,Dimlas,2,Filipe,0,4,2026-05-17T00:00:00Z